"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Discounted Mocha Removal","0","1","Verify Discounted Mocha disappears after removing other items","0"
"0","","0","Closing Payment Details Modal","0","1","Verify that the Payment Details Modal retains pre-filled values after closing via the 'X' icon on the MenuPage","0"
"2","","0","Cart Validation","8","0","","0"
"4","Promotions after choosing 3 drinks","0","Lucky Day pop-up","1","0","User can sees Lucky Day popup after choosing 3 drinks","0"
"0","","0","Coffee cards verification","32","0","","0"
"0","","0","Payment Form Validation","0","1","Verify valid name/email submission shows confirmation message","0"
"3","","0","","18","0","","0"
"0","","0","Add-to-cart modal behaviour","0","1","“No” button closes the modal and leaves the cart empty","0"
"0","","0","Lucky Day Offer Rejection","0","1","Verify rejecting the ""extra cup of Mocha"" keeps cart unchanged","0"
"3","","0","Pop-up 'Lucky Day'","7","0","","0"
"0","","0","Verify the correctness of increasing the number of items on the Cart page","1","0","","0"
"0","","0","'+' button is disabled for 'Discounted' Mocha in the Cart Modal","0","1","Verify '+' button disability in the Cart Modal for 'Discounted' Mocha","0"
"0","","0","Cart list decrease button verification","1","0","","0"
"2","Cart pop-up Functionality","0","Pop-up Cart Behavior","8","0","Cart pop-up behavior when interacting with any drink from the menu","0"
"0","","0","Verification that adding multiple coffee cups updates the header counter","0","1","Add multiple drinks to the cart and verify counter","0"
"0","","0","Discounted Mocha removal via “-” button","0","1","(Discounted) Mocha disappears after “–”-removal of the other items","0"
"0","","0","Cart Counter Update","1","0","","0"
"0","","1","Closing Payment Details Modal","0","0","","0"
"0","","2","Discounted Mocha Removal","0","0","","0"
"0","","1","Test Chinese Translation","0","0","","0"
"0","","0","Lucky Day Modal and Cart Modal Functionality","1","0","","0"
"0","","0","Invalid data is entered in the Name field","0","1","Verify error handling when invalid data is entered in the Name field","0"
"1","","0","Total Button Validation","0","0","","0"
"0","","0","Error handling","1","0","","0"
"0","","0","Increasing Items Number in Cart","0","1","Verify increasing item quantity on Cart page","0"
"0","","1","Is Plus Button Disabled for Discounted Mocha","0","0","","0"
"0","","0","Verification of the functioning oh the ""Total"" button functionality on ""Menu"" and ""Cart"" pages","0","1","Test ""Total"" button on Menu and Cart pages","0"
"0","","0","Total Button Functionality on Menu and Cart Pages","1","0","","0"
"0","","0","Add-to-cart modal behaviour","0","1","Add-to-cart modal reappears after page refresh","0"
"0","","0","Synchronization of the cart page with the pop-up cart","1","0","","0"
"0","","0","Payment Form Validation","1","0","","0"
"1","","0","Verify lucky proposition discard","0","0","","0"
