"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test verification of pop-up cart functioning (buttons +/-)","614","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:51 GMT 2025","passed","Sat Jun 21 10:51:52 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"","688","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Sat Jun 21 10:53:07 GMT 2025","passed","Sat Jun 21 10:53:08 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"Verify valid name/email submission shows confirmation message.","1265","verifyPaymentSubmissionWithValidData","AllTests","Sat Jun 21 10:51:43 GMT 2025","passed","Sat Jun 21 10:51:44 GMT 2025","com.coffeecart.ui.PaymentSubmissionWithValidDataTest","RegularTests","com.coffeecart.ui.PaymentSubmissionWithValidDataTest","verifyPaymentSubmissionWithValidData"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","5049","possibilityAddingMocha","AllTests","Sat Jun 21 10:53:49 GMT 2025","passed","Sat Jun 21 10:53:54 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Verify that the Payment Details Modal retains pre-filled values after closing via the 'X' icon on the MenuPage","1017","verifyPaymentModalClosing","AllTests","Sat Jun 21 10:52:10 GMT 2025","failed","Sat Jun 21 10:52:11 GMT 2025","com.coffeecart.ui.PaymentModalClosingOnMenuPageTest","RegularTests","com.coffeecart.ui.PaymentModalClosingOnMenuPageTest","verifyPaymentModalClosing"
"Verification of data changes synchronization between the cart page and the pop-up cart","1182","testSynchronizationBetweenCarts","AllTests","Sat Jun 21 10:52:51 GMT 2025","passed","Sat Jun 21 10:52:52 GMT 2025","com.coffeecart.ui.TestSynchronizationBetweenCarts","RegularTests","com.coffeecart.ui.TestSynchronizationBetweenCarts","testSynchronizationBetweenCarts"
"Check full ingredients compliance for coffee cards on the page","134","checkFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:48 GMT 2025","passed","Sat Jun 21 10:52:48 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","5181","possibilityAddingMocha","AllTests","Sat Jun 21 10:53:54 GMT 2025","passed","Sat Jun 21 10:53:59 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"","1594","verifyInvalidEmailValidation","AllTests","Sat Jun 21 10:51:52 GMT 2025","passed","Sat Jun 21 10:51:54 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","verifyInvalidEmailValidation"
"Check full ingredients compliance for coffee cards on the page","117","checkFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:49 GMT 2025","passed","Sat Jun 21 10:52:49 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"This test verifies that after selecting three drinks, the Lucky Day  pop-up is displayed.","2296","luckyDayPopUpAppearsTest","AllTests","Sat Jun 21 10:51:26 GMT 2025","broken","Sat Jun 21 10:51:29 GMT 2025","com.coffeecart.ui.LuckyDayPopUpAppears","RegularTests","com.coffeecart.ui.LuckyDayPopUpAppears","luckyDayPopUpAppearsTest"
"Check prices correctness for all coffee cards on the menu page","105","checkCorrectCardPrices","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Check titles of all coffee cards on the menu page","105","checkCorrectCardTitles","AllTests","Sat Jun 21 10:52:48 GMT 2025","passed","Sat Jun 21 10:52:48 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"Verify successful payment clear the cart","3139","testSuccessfulPaymentClearPrice","AllTests","Sat Jun 21 10:52:21 GMT 2025","passed","Sat Jun 21 10:52:24 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Check titles of all coffee cards on the menu page","38","checkCorrectCardTitles","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"This test verifies that after selecting three drinks, the Lucky Day  pop-up is displayed.","2588","luckyDayPopUpAppearsTest","AllTests","Sat Jun 21 10:51:24 GMT 2025","broken","Sat Jun 21 10:51:26 GMT 2025","com.coffeecart.ui.LuckyDayPopUpAppears","RegularTests","com.coffeecart.ui.LuckyDayPopUpAppears","luckyDayPopUpAppearsTest"
"","0","firstTest","AllTests","Sat Jun 21 10:52:18 GMT 2025","passed","Sat Jun 21 10:52:18 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","firstTest"
"Check full ingredients compliance for coffee cards on the page","122","checkFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:49 GMT 2025","passed","Sat Jun 21 10:52:49 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verify error handling when invalid data is entered in the Name field.","610","VerifyName","AllTests","Sat Jun 21 10:51:34 GMT 2025","passed","Sat Jun 21 10:51:34 GMT 2025","com.coffeecart.ui.TestName","RegularTests","com.coffeecart.ui.TestName","VerifyName"
"Check prices correctness for all coffee cards on the menu page","104","checkCorrectCardPrices","AllTests","Sat Jun 21 10:52:46 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Check incorrect given ingredients handling","113","checkIncorrectFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:49 GMT 2025","passed","Sat Jun 21 10:52:49 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"Verify that double-clicking the drink name translates it into Chinese","6240","testChineseNamesOfProducts","AllTests","Sat Jun 21 10:52:12 GMT 2025","failed","Sat Jun 21 10:52:18 GMT 2025","com.coffeecart.ui.VerifyTranslationToChineseTest","RegularTests","com.coffeecart.ui.VerifyTranslationToChineseTest","testChineseNamesOfProducts"
"Check length of all coffee cards on the menu page","66","checkCardsLength","AllTests","Sat Jun 21 10:52:46 GMT 2025","passed","Sat Jun 21 10:52:46 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCardsLength"
"","2367","verifyInvalidEmailValidation","AllTests","Sat Jun 21 10:51:58 GMT 2025","passed","Sat Jun 21 10:52:00 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","verifyInvalidEmailValidation"
"Verify successful payment clear the cart","2678","testSuccessfulPaymentClearPrice","AllTests","Sat Jun 21 10:52:33 GMT 2025","passed","Sat Jun 21 10:52:36 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Test verification of pop-up cart functioning (buttons +/-)","568","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:45 GMT 2025","passed","Sat Jun 21 10:51:45 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","1357","possibilityAddingMocha","AllTests","Sat Jun 21 10:53:42 GMT 2025","broken","Sat Jun 21 10:53:44 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Test verification of pop-up cart functioning (buttons +/-)","540","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:46 GMT 2025","passed","Sat Jun 21 10:51:46 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Check full ingredients compliance for coffee cards on the page","120","checkFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:48 GMT 2025","passed","Sat Jun 21 10:52:48 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Check titles of all coffee cards on the menu page","66","checkCorrectCardTitles","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"Test verification of pop-up cart functioning (buttons +/-)","593","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:50 GMT 2025","passed","Sat Jun 21 10:51:51 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Test verification of pop-up cart functioning (buttons +/-)","552","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:48 GMT 2025","passed","Sat Jun 21 10:51:49 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Check incorrect given ingredients handling","126","checkIncorrectFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:49 GMT 2025","passed","Sat Jun 21 10:52:49 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"Verify successful payment clear the cart","2752","testSuccessfulPaymentClearPrice","AllTests","Sat Jun 21 10:52:28 GMT 2025","passed","Sat Jun 21 10:52:31 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Check prices correctness for all coffee cards on the menu page","103","checkCorrectCardPrices","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Check prices correctness for all coffee cards on the menu page","103","checkCorrectCardPrices","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Check prices correctness for all coffee cards on the menu page","105","checkCorrectCardPrices","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Test verification of pop-up cart functioning (buttons +/-)","566","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:50 GMT 2025","passed","Sat Jun 21 10:51:50 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Check full ingredients compliance for coffee cards on the page","131","checkFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:48 GMT 2025","passed","Sat Jun 21 10:52:48 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"","0","firstTest","AllTests","Sat Jun 21 10:53:28 GMT 2025","passed","Sat Jun 21 10:53:28 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","firstTest"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3601","possibilityAddingMocha","AllTests","Sat Jun 21 10:53:44 GMT 2025","passed","Sat Jun 21 10:53:47 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Verify successful payment clear the cart","1261","testSuccessfulPaymentClearPrice","AllTests","Sat Jun 21 10:52:36 GMT 2025","broken","Sat Jun 21 10:52:37 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","1450","verifyInvalidEmailValidation","AllTests","Sat Jun 21 10:51:54 GMT 2025","passed","Sat Jun 21 10:51:55 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","verifyInvalidEmailValidation"
"Test verification of pop-up cart functioning (buttons +/-)","1258","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:47 GMT 2025","broken","Sat Jun 21 10:51:48 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Check titles of all coffee cards on the menu page","45","checkCorrectCardTitles","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","2595","verifyNoButtonOnAddModal","AllTests","Sat Jun 21 10:51:39 GMT 2025","passed","Sat Jun 21 10:51:42 GMT 2025","com.coffeecart.ui.TestNoButtonRightClickModal","RegularTests","com.coffeecart.ui.TestNoButtonRightClickModal","verifyNoButtonOnAddModal"
"Check prices correctness for all coffee cards on the menu page","129","checkCorrectCardPrices","AllTests","Sat Jun 21 10:52:46 GMT 2025","passed","Sat Jun 21 10:52:46 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"","1","firstTest","AllTests","Sat Jun 21 10:51:22 GMT 2025","passed","Sat Jun 21 10:51:22 GMT 2025","com.coffeecart.ui.BaseTest","RegularTests","com.coffeecart.ui.BaseTest","firstTest"
"Check incorrect given ingredients handling","111","checkIncorrectFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:49 GMT 2025","passed","Sat Jun 21 10:52:49 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"Verify that the (Discounted) Mocha item in the Cart Page disappears after removing the other coffee cups via the '-' button","4042","verifyDiscountedMochaCardMinusButton","AllTests","Sat Jun 21 10:52:53 GMT 2025","failed","Sat Jun 21 10:52:57 GMT 2025","com.coffeecart.ui.TestDiscountedMochaCartPageMinusButton","RegularTests","com.coffeecart.ui.TestDiscountedMochaCartPageMinusButton","verifyDiscountedMochaCardMinusButton"
"Check titles of all coffee cards on the menu page","60","checkCorrectCardTitles","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","2113","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Sat Jun 21 10:53:05 GMT 2025","broken","Sat Jun 21 10:53:07 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"","0","firstTest","AllTests","Sat Jun 21 10:51:52 GMT 2025","passed","Sat Jun 21 10:51:52 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","firstTest"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3574","possibilityAddingMocha","AllTests","Sat Jun 21 10:53:35 GMT 2025","passed","Sat Jun 21 10:53:39 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Check full ingredients compliance for coffee cards on the page","117","checkFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:48 GMT 2025","passed","Sat Jun 21 10:52:48 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","1299","possibilityAddingMocha","AllTests","Sat Jun 21 10:53:59 GMT 2025","broken","Sat Jun 21 10:54:00 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Check titles of all coffee cards on the menu page","90","checkCorrectCardTitles","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:48 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"Check incorrect given ingredients handling","118","checkIncorrectFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:49 GMT 2025","passed","Sat Jun 21 10:52:49 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkIncorrectFullComplianceCardIngredients"
"Check prices correctness for all coffee cards on the menu page","110","checkCorrectCardPrices","AllTests","Sat Jun 21 10:52:46 GMT 2025","passed","Sat Jun 21 10:52:46 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"Verify the correctness of decreasing the number of {drinkName} on the Cart page","2763","checkDecreaseButtonInTheCartList","AllTests","Sat Jun 21 10:53:22 GMT 2025","passed","Sat Jun 21 10:53:25 GMT 2025","com.coffeecart.ui.DecreasingButtonOnTheCartPageTest","RegularTests","com.coffeecart.ui.DecreasingButtonOnTheCartPageTest","checkDecreaseButtonInTheCartList"
"","2357","verifyInvalidEmailValidation","AllTests","Sat Jun 21 10:52:00 GMT 2025","passed","Sat Jun 21 10:52:03 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","verifyInvalidEmailValidation"
"Check full ingredients compliance for coffee cards on the page","126","checkFullComplianceCardIngredients","AllTests","Sat Jun 21 10:52:48 GMT 2025","passed","Sat Jun 21 10:52:49 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkFullComplianceCardIngredients"
"Verify the functioning of the ""Total"" button on ""Menu"" and ""Cart"" pages.","876","testTotalButton","AllTests","Sat Jun 21 10:54:01 GMT 2025","passed","Sat Jun 21 10:54:02 GMT 2025","com.coffeecart.ui.TestTotalButtonOnMainAndCart","RegularTests","com.coffeecart.ui.TestTotalButtonOnMainAndCart","testTotalButton"
"Test verification of pop-up cart functioning (buttons +/-)","1178","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:49 GMT 2025","broken","Sat Jun 21 10:51:50 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Verify successful payment clear the cart","2745","testSuccessfulPaymentClearPrice","AllTests","Sat Jun 21 10:52:19 GMT 2025","passed","Sat Jun 21 10:52:21 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"Check titles of all coffee cards on the menu page","25","checkCorrectCardTitles","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"Check prices correctness for all coffee cards on the menu page","118","checkCorrectCardPrices","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardPrices"
"This test verifies that after selecting three drinks, the Lucky Day  pop-up is displayed.","2121","luckyDayPopUpAppearsTest","AllTests","Sat Jun 21 10:51:29 GMT 2025","passed","Sat Jun 21 10:51:31 GMT 2025","com.coffeecart.ui.LuckyDayPopUpAppears","RegularTests","com.coffeecart.ui.LuckyDayPopUpAppears","luckyDayPopUpAppearsTest"
"This test verifies that after selecting three drinks, the Lucky Day  pop-up is displayed.","1973","luckyDayPopUpAppearsTest","AllTests","Sat Jun 21 10:51:31 GMT 2025","broken","Sat Jun 21 10:51:33 GMT 2025","com.coffeecart.ui.LuckyDayPopUpAppears","RegularTests","com.coffeecart.ui.LuckyDayPopUpAppears","luckyDayPopUpAppearsTest"
"Verify successful payment clear the cart","3229","testSuccessfulPaymentClearPrice","AllTests","Sat Jun 21 10:52:41 GMT 2025","passed","Sat Jun 21 10:52:44 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","1215","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Sat Jun 21 10:53:04 GMT 2025","passed","Sat Jun 21 10:53:05 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"","170","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Sat Jun 21 10:53:03 GMT 2025","passed","Sat Jun 21 10:53:04 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
"Test verification of pop-up cart functioning (buttons +/-)","547","Verify cart pop-up functionality for any drink from the menu","AllTests","Sat Jun 21 10:51:46 GMT 2025","passed","Sat Jun 21 10:51:47 GMT 2025","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","RegularTests","com.coffeecart.ui.VerificationOfPopUpCartFunctioningTest","cartManipulationTest"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","3695","possibilityAddingMocha","AllTests","Sat Jun 21 10:53:28 GMT 2025","passed","Sat Jun 21 10:53:32 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Check titles of all coffee cards on the menu page","19","checkCorrectCardTitles","AllTests","Sat Jun 21 10:52:47 GMT 2025","passed","Sat Jun 21 10:52:47 GMT 2025","com.coffeecart.ui.CupTitlePriceIngredientsTest","RegularTests","com.coffeecart.ui.CupTitlePriceIngredientsTest","checkCorrectCardTitles"
"","2484","verifyInvalidEmailValidation","AllTests","Sat Jun 21 10:51:55 GMT 2025","passed","Sat Jun 21 10:51:58 GMT 2025","com.coffeecart.ui.TestEmail","RegularTests","com.coffeecart.ui.TestEmail","verifyInvalidEmailValidation"
"Verify '+' button is disabled for '(Discounted) Mocha' in the Cart Page","2774","testPlusButtonForDiscountedMocha","AllTests","Sat Jun 21 10:52:57 GMT 2025","failed","Sat Jun 21 10:53:00 GMT 2025","com.coffeecart.ui.TestDiscountedMochaButton","RegularTests","com.coffeecart.ui.TestDiscountedMochaButton","testPlusButtonForDiscountedMocha"
"Verification of the possibility of adding Mocha to the cart in the pop-up 'Lucky Day'","1271","possibilityAddingMocha","AllTests","Sat Jun 21 10:53:47 GMT 2025","broken","Sat Jun 21 10:53:49 GMT 2025","com.coffeecart.ui.TestPossibilityAddingMocha","RegularTests","com.coffeecart.ui.TestPossibilityAddingMocha","possibilityAddingMocha"
"Verify successful payment clear the cart","2633","testSuccessfulPaymentClearPrice","AllTests","Sat Jun 21 10:52:31 GMT 2025","passed","Sat Jun 21 10:52:33 GMT 2025","com.coffeecart.ui.TestSuccessfulPaymentClearCart","RegularTests","com.coffeecart.ui.TestSuccessfulPaymentClearCart","testSuccessfulPaymentClearPrice"
"","773","verifyLuckyDayModalAfterEvery3rdItem","AllTests","Sat Jun 21 10:53:08 GMT 2025","passed","Sat Jun 21 10:53:08 GMT 2025","com.coffeecart.ui.LuckyDayDiscountTest","RegularTests","com.coffeecart.ui.LuckyDayDiscountTest","verifyLuckyDayModalAfterEvery3rdItem"
